id, name, address,rating,review_count
312650,Menaa Suites,"King Fahad Road Al Malqa District, Al Omrah Street, Al Malqa, Riyadh 13521, Saudi Arabia",2,69
312651,topaz almalga,"Muhammad Ibn Abdulaziz Ad Daghaythir, 86521, Riyadh, Saudi Arabia",4.5,117
312652,180 Degrees Hotel Almalqa,"3600 Muhammad Ad Daghaythir, 13521, Riyadh, Saudi Arabia",3.9,680
312653,Aknan Al Malqa Furnished Units,"Wadi Al Noor Street, Al Malqa, 13521, Riyadh, Saudi Arabia",3.8,434
312654,Daryah For Hotel Apartments (Al Malaqa),"Al Malaqa District, Mohammed Al Deghaither Street, Riyadh Saudi Arabia",3.5,258
312655,Vera Hotel,"Al Hanan, Al Malqa, Riyadh 13521, Saudi Arabia",4.2,1286
312657,Viola Gardens,"2813 Prince Saud Ibn Muhammad Ibn Muqrin In Front of Gate 2 of Imam Muhammad Ibn Saud University, 11485 Riad, Arabia Saudí ",3.9,806
312658,Burj Alhayah Hotel Suites Alfalah,"prince saud bin mohamed bin maqran Exit 7 Al Falah district ., 13314 Riad, Arabia Saudí",3.7,869
312659,Rwaq- AlFalah,"Al Falah Area Exit 7, AlFalah, 11564, Riyadh, Saudi Arabia",3.7,857
312660,Clowzer Hotel Appartments," Uthman Ibn Affan Road 13313, 13313 Riyadh, Saudi Arabia",3.9,242
312661,SAMAYA APARTMENT 1,"Al Hamra, Al Baraka st., 13434, Riyadh",4,483
312662,Al Muteb Suites Al Falah 1,"Al Qana, 13314, Riyadh",3.5,145
312663,Alyaa Home,"Shaikh Abdullah Al Makhdub St, Al Falah, 13314, Riyadh, Saudi Arabia",4.6,295
312664,Al Muteb Suites Al Falah 3,"Uthman Ibn Affan Rd, Al Falah, 13314, Riyadh, Saudi Arabia",4.5,18000
312665,Tura Residence,"Shaikh Abdullah Al Makhdub St, 13314, Riyadh, Saudi Arabia",4.5,18000
312666,Almakan Hotel 104,"Exit 7, Othman Bin Afan Road, Riyadh, Saudi Arabia",2.6,142
312667,Rest Night Hotel Suites- AL Falah,"AL Ta`awon, exit 6 Al Husien bin Ali street، Al Hussain Ibn Ali, At Taawun, Riyadh 13314, Saudi Arabia",3.4,772
312668,Rafa Homes - Al Falah,"Alfalah District, Al barakah Street, Riyadh Saudi Arabia",3.7,857
312669,Janatna Furnished Apartments,"Al Falah District, Othman Street, Exit 7، Al Falah, Riyadh 13314 11187, Saudi Arabia",3.5,145
312670,Merfal Hotel Apartments Al Falah,"Prince Saud Ibn Mohamed Ibn Muqrin , Al Falah District، Prince Saud Bin Mohammed Bin Muqrin Rd, Al Falah, Riyadh 13314, Saudi Arabia",3.5,572
312671,مساكن رفاء | Rafa Homes,"شارع الميزان حي الفلاح، Al Falah, Riyadh 13314, Saudi Arabia",3.7,857
312672,Rayatna for Furnished Apartments 2 (رايتنا للوحدات السكنية (الفلاح)),"2632 Shaikh Abdullah Al Makhdub St, Al Falah, Riyadh 13314, Saudi Arabia",0,0
312673,Rokn Al Omor Apartments - Al Falah,"Al Barakah Street , Al Falah District، Al Falah, ริยาดห์ 13314 11564, Saudi Arabia",3.2,69
312674,Executives Hotel -  KAFD,"King Fahad Branch Rd, Al Aqiq, Riyadh 13511, Saudi Arabia",4.1,4231
312675,Taleen AlAqiq hotel apartments,"Prince Saud Bin Mohamed Bin Meqren Road, Riyadh, Saudi Arabia",4.5,18000
312676,Pestana Hotel & Suites 2,"Al Tahlia Street, Al Aqeeq District, 11461, Riyadh, Saudi Arabia",4,732
312677,Grand Plaza Hotel-King Fahad Riyadh," riyadh king Fahad Riyadh, 01153 Riad, Arabia Saudí ",4,1595
312678,Land Beach Al Aqiq,"Sulaimaniyah Street, Al Aqiq District, 13515, Riyadh, Saudi Arabia ",3.7,264
312679,Al Farhan Hotel Suites Al Aqiq,"King Fahd Road, North Al Qassim Road, 13515, Riyadh, Saudi Arabia",3.3,480
312680,HDB HOTEL- FINANCAL DISTRICT,"King Fahd Rd, 13515, Riyadh, Saudi Arabia",4.1,3212
312681,Mabaat - Suitey Al Aqiq - 559,"8177 Abdullah Ibn Dhahlan, Al Aqiq, 13511, Riyadh, Saudi Arabia",4,1
312682,Rafa,"The King Fahd Road- Al Aqueeq, 11324, Riyadh, Saudi Arabia",3.7,253
312683,Al Muteb Suites Qasr Alaqiq,"King Fahad Branch Rd, 13515, Riyadh, Saudi Arabia",4.8,1324
312684,Rayatna For Furnished Apartments 1,"Al Ageeg, king Fahd District, Al Aqiq, Riyadh 13515 11178, Saudi Arabia",4,8
312685,Pestana Hotel & Suites,"الرياض حي العقيق - شارع محمد بن دخيل، Al Aqiq, Riyadh 13515 11461, Saudi Arabia",4.2,360
312695,Boudl Al Munsiyah,"Al Munsiyah, 13422, Riyadh, Arabia Saudí",4,4533
312696,Aber Al Munsiyah ,"Al Munsiyah District , 11372 Riad, Arabia Saudí",4,1738
312697,Danat Alkhaleej Hotel,"11331 Dammam Rd, 13243, Riyadh, Saudi Arabia",4.4,35
312698,Al Muteb Suites Al Yarmouk 2,"Dammam Rd, Al Yarmouk, 13313, Riyadh, Saudi Arabia",0,0
312699,Al Muteb Suites Al Munsiyah,"Asir, Al Munsiyah, 13246, Riyadh, Saudi Arabia",0,0
312700,Aknan Hotel Appartments,"Mohammed Al Barqi, 13253, Riyadh, Saudi Arabia",4.5,17981
312701,Aber 103 Al Mounisya,"Ath Thumamah Road, Riyadh",4,1738
