id,name,address,rating,review_count
29901,THREE POINTS AL SALAMA,"As Salamah District, Sulayyman Al Halabi Street, Al Salamah, 23436 Yeda, Arabia Saudí ",4.1,768
29902,Shada Hotel Salama,"Al-Madina Road- Quraish Bridge, Al Salamah, 21511, Yeda, Arabia Saudí ",4.4,1731
29903,Crowne Plaza Jeddah Al Salam,"7755 Prince Sultan Road, Al-Muhammadiyah District, P.O. Box 127314, Jeddah, 21352, Saudi Arabia",4.9,9690
29904,OYO 128 Al Hamra Palace 1,"King, ِAbdullah Road , 21573 Yeda, Arabia Saudí ",3.4,649
29905,OYO 180 Asdaa Al Rahah Hotel Suites,"Near Al Mujtama Modern Pharmacy, Jeddah, Makkah province , Saudi Arabia",3.6,9
29906,OYO 205 Golden Jwan Furnished Apartments 1,"Madain Al Fahd District, Al Falah Street, 21452 Yeda, Arabia Saudí ",3.9,157
29907,OYO 217 Nesmt Almagreb," 1, 6704 Al Istad Ar Riyadi, Madain Al Fahd District, Jeddah 22347 3470, Saudi Arabia, Jeddah, 22347, Jeddah, Saudi Arabia ",4.1,61
29908, Adagio Aparthotel Jeddah Malik Road,"Malik Road Jeddah 21352, Besides Arab National Bank, 126001, 21352, Jeddah, Saudi Arabia",4.4,1259
29909,Al Eairy Apartments - Jeddah 5,"Street 52, 52261, Jeddah, Saudi Arabia",2.8,396
29910,Rawda Residence Hotel,"Bicycle Roundabout Al Faisaliyah, 13412 Yeda, Arabia Saudí",4.3,682
29911,Carawan Hotel Jeddah,"21436, Muhammad Zaydan, Al Naeem, Jeddah, Saudi Arabia",4.3,303
29912,Al Eairy Apartments Jeddah 3,"Sultan Ibn Salman, An Nuzhah District, 52261, Jeddah, Saudi Arabia",3.0,4
29913,Al Eairy Apartments - Jeddah 6,"Main Street, 52261 Jeddah, Saudi Arabia",3.0,4
29914,Al Eairy Apartments - Jeddah 6,"Main Street, 52261 Jeddah, Saudi Arabia",3.0,4
29915,Verta Jeddah Hotel,"Al Mohamadia District, P.O box 10010, 21433 Yeda, Arabia Saudí",3.6,477
29916,Al Fahad Hotel Suites Al Tahliya,"Prince Mohamed Bin Abdul Aziz Road, Al Faisaliah District, 21433, Jeddah, Saudi Arabia",3.7,26
29917,Mirada Purple - Obhur,"Umm Al Muaminin Maimunah Road, After Farsi 7 Towers, South Obhr, 21311 Yeda, Arabia Saudí ",3.8,1654
29918,Capital O 183 Ahla Al Ayam Hotel,"3681 Abbas Hafidh, As Salamah District, Jeddah, Al Salamah, 23436, Jeddah, Saudi Arabia ",4.2,569
29919,OYO 208 Roshan Hotel Suites Hera,"Hira Street, Al Naim District, 21442, Jeddah, Saudi Arabia ",4.0,4
29920,OYO 211 Mayar International Furnished Units 1,"1, 4701, AR Rihab District, Jeddah 8193, 23344, Jeddah, Saudi Arabia",2.6,71
