id,name,address,rating,review_count
82777,Index Hotel,"Main Ijp Road, Near Metro Stop, 46000, Rawalpindi, Pakistan",4.0,300
82778,Roomy Signature Hotel,"Agha Khan Rd, 44000, Islamabad, Pakistan",4.5,3774
82779,Heaven Huts,"House 24, Street 43, G6-1/1, 44000, Islamabad, Pakistan",4.1,44
82780,Comfort Inn,"House# 2, Main Markaz Road, G-8/1, 44000, Islamabad, Pakistan",3.7,6
82781,Margalla Apartments Islamabad,"Margalla Apartments, E-11/4, Islamabad, 45200, Pakistan",4.3,40
82782,Divine Hotel,"Sector A, Jinnah Avenue Boulevard, Dha Phase 2, 46000, Islamabad, Pakistan",4.1,803
82783,Manama Hotel,"Main Ijp Rd.,Near Metro Stop Double Road, 46000, Islamabad, Pakistan",3.9,1184
82784,Hotel Islamabad Zero Point,"1 Street 25, 44210, Islamabad, Pakistan",4.2,608
82785,Rose Palace Hotel,"1-K Plaza, F-10 Markaz, 51000, Islamabad, Pakistan",4.0,4003
82786,Hotel Numbal One,"Pd 1463, Ijp Road, Dhoke Babu Irfan, Rawalpindi, 46000, Islamabad, Pakistan",3.7,118
82787,IFQ Hotel & Resort Islamabad,"4 Club Road, Rawal Dam Chowk,, 44000, Islamabad, Pakistan",4.3,660
82788,Rose Valet Guest House,"11 Street 54, Street No. 54, F-7/4, 44210, Islamabad, Pakistan",4.7,175
82789,City Max Hotel,"I.J.P. Road, 46300, Rawalpindi, Pakistan",3.9,829
82790,White House Residencia,"1077 Street 23, 46220, Islamabad, Pakistan",4.1,89
82791,Green Line Motel Islamabad,"Main Service Rd W, 44000, Islamabad, Pakistan",4.1,389
82792,Hotel Royal Lodge,"I.J.P. Road, Opposite Metro Stop, Dhoke Babu Irfan, 46000, Islamabad, Pakistan",3.7,320
82793,Prestige Boutique Hotel & Resorts,"Service Road,, 44000, Islamabad, Pakistan",4.0,517
82794,Aimpire Hotel,"Civic Center Bahria Town Civic Center, Bahria Town, Rawalpindi,, 46000, Islamabad, Pakistan",4.5,91
82795,Galaxy Lodge,"Neelum Road 25, G-9/3, 44000, Islamabad, Pakistan",4.4,143
82796,Heaven Hut 2,"House 763, Street 13, Npf E 11/4, 04403, Islamabad, Pakistan",4.1,44
82797,Hotel Al Hamrah,"Main Ijp Road Near Double Road Chowk, 46000, Rawalpindi, Pakistan",4.4,146
82798,Royal Blue Inn Hotel Islamabad,"110 Street Number 32, G9/1, 44000, Islamabad, Pakistan",4.3,333
