id,name,address,rating,review_count
465737,North View Hotel,"Hunza Nagar beside Punjab Service Station, , Gilgit, 15600, Pakistan",4.2,121
465738,The 2 Magpies,"Near College Road Madal Gan, , Gilgit, 15600, Pakistan",4.6,124
465739,Ganish inn Hunza,"Hunza Ganish Near to Rewayat Restaurant, , Gilgit, 15700, Pakistan",4.9,12
465740,Grand Continental Hotel Gilgit,"Chinar Bagh Riverview Road, , Gilgit, 15100, Pakistan",4.0,250
465741,Midland Hotel Hunza,"Karimabad Main Bazar, , Gilgit, 15600, Pakistan",3.3,18
465742,Dumani Inn Hotel And Restaurant,"Riaz Road, , Gilgit, 15100, Pakistan",4.6,84
465743,Qayam Hunza,"Karim Abad Road, , Gilgit, 15700, Pakistan",4.3,129
465744,Hotel Heritage House Gilgit,"Near Bab E Gilgit Jutial, , Gilgit, 15100, Pakistan",4.4,82
465745,Midway Hotel Gilgit,"Wahdat Colony opposite of City Gate Hotel, , Gilgit, 15100, Pakistan",4.0,117
465746,Orangeloft Attabad Lake Hunza,"Attabad Lake N 35 Karakoram Highway Gojal, , Gilgit, 15700, Pakistan",3.0,12
465747,Hard Rock Hotel Minapin,"Minapin Valley Nagar District, , Gilgit, 15500, Pakistan",4.7,110
465748,Hunza Lounge,"Old Karim Abad Road, , Gilgit, 15100, Pakistan",4.6,154
465749,Hotel Hunza White House,"Dorkhan Hunza Ali Abad, , Gilgit, 15600, Pakistan",4.3,75
465750,Northern Sapphire Hunza,"Altit Fort Road, , Gilgit, 15710, Pakistan",3.7,25
465751,New Green Hotel And Restraunt,"Airport Rd Gilgit Gilgit Baltistan 15701, , Gilgit, 15701, Pakistan",4.5,24
465752,Passu Ambassador Hotel,"Passu Gojal Hunza 16, , Gilgit, 15100, Pakistan",4.4,138
465753,Hunza Marcopolo Inn,"Polo Ground Near Gulmit, , Gilgit, 15750, Pakistan",4.2,333
465754,Hunza Panorama Hotel,"Hunza Duikar Hunza Valley, , Gilgit, 15100, Pakistan",4.5,111
465755,Hotel Blue Moon,"Karim Abad Road Hunza Karimabad Gilgit Baltistan, , Gilgit, 15700, Pakistan",4.3,307
465756,Spire Resorts Hunza,"Madal Gan, , Gilgit, 15700, Pakistan",4.0,23
465757,Raahi hotel,"Raahi Hotel Near Satellite Earth Station Chasma Chowk, Danyore, , Gilgit, 15110, Pakistan",4.1,20
465758,Hilltop Hotel Hunza,"Karim Abad Road, , Gilgit, 15700, Pakistan",4.2,395
465759,Arcadian Inn Hotel Hunza,"N 35 Aliabad, , Gilgit, 15600, Pakistan",4.6,423
465760,Hunza Elites,"College Road Aliabad Near DC Office, Hunza Valley, , Gilgit, 54000, Pakistan",4.2,353
465761,United Hotel Jaglot Gilgit,"N 35, , Gilgit, 15101, Pakistan",4.1,722
465762,Hotel 99,"Col Ehsan Ali Road Kashrot, , Gilgit, 15100, Pakistan",3.9,220
465763,Bab e Gilgit Inn,"Near General Bus Stand, , Gilgit, 15150, Pakistan",4.8,37
465764,Osho Beyaak Hunza,"Kkh Near Go Petrol Station Ganish, , Gilgit, 15700, Pakistan",4.7,23
465765,Mulberry Hotel,"Karimabad Hunza Gilgit, , Gilgit, 15100, Pakistan",4.0,406
465766,Hunza Roof Hotel,"Eagle Nest Road Duiker Atlit Hunza, , Gilgit, 15710, Pakistan",4.2,121
465768,Hunza Horizon Inn,"Main Kkh, , Gilgit, 15600, Pakistan",4.8,99
465769,Al Barakaat Hotel,"10701 Gilgit Baltistan Karimabad, Hunza, , Gilgit, 10701, Pakistan",4.3,154
465771,Hunza Regency Inn,"Main University Road Kiu Campus Hyderabad Hunza Gilgit Baltistan Hunza, , Gilgit, 15600, Pakistan",4.7,31
465772,Diran Peak View hotel,"8M79 Q96 Ganish Gilgit Baltistan Karimabad, , Gilgit, 15100, Pakistan",4.3,3
465773,Karakorum View Hotel,"Karim Abad Road, , Gilgit, 15700, Pakistan",4.5,559
465774,Royal Punjab Hunza Hotel & Restaurant,"2 Karakoram Hwy Dorkhan Aliabad Ali Abad 15600, , Gilgit, 15600, Pakistan",4.9,68
465775,Hunza Hills Hotel,"N35, , Gilgit, 32381, Pakistan",4.5,111
465776,Rc Hotel,"Shahr E Quaid E Azam, , Gilgit, 14300, Pakistan",4.2,14
465777,Vista Hotel Danyore,"Kkh Gilgit Rd, , Gilgit, 15100, Pakistan",4.2,39
465778,Royal Guest House Gilgit,"Near Agha Khan Higher Secondary Nagar Colony Gilgit, , Gilgit, 15110, Pakistan",4.8,25
465779,Green Guest House Altit Hunza,"Ahmed Abad Road Altit Gilgit, , Gilgit, 15701, Pakistan",4.0,1
465780,Zaver Pearl Continental Gwadar,"Hotel Building Mauza, Ward Koh E-Batil, Tehsil & Distt, Gwadar, Gwadar, 91200, Pakistan",4.2,1394
465808,Nexus Grace,"House 95 Saddar Road G 6 1, G-6/1 House 95Islamabad 44000, Islamabad, 44000, Pakistan",4.6,104
465810,Best Western Islamabad,"Club Road, Islamabad, Islamabad, 44000, Pakistan",4.1,2256
465818,Hotel Crown Plaza Islamabad,"Service Road, Jinnah Avenue 99-EPO Box 1775Islamabad 44000, Islamabad, 44000, Pakistan",4.0,2117
465823,Hill View Hotel,"Markaz F-7, Islamabad 44000, Islamabad, 44000, Pakistan",4.2,4361
465830,Royal Crown,"House #10 Street #32 F 8 1, House 10Islamabad 44000, Islamabad, 44000, Pakistan",4.1,382
465831,Prestige Residence,"House No 2 Street No 31 Sector F 8 1 9Th Avenue Service Road West 9th Avenue, Service Road West, 9th AvenueStreet 31F 8/1 E-9 Sector, Islamabad, 44000, Pakistan",4.0,517
465832,Dreamland Hotel,"4 Islamabad Club Road, Opposite Rawal DamIslamabad 46000, Islamabad, 46000, Pakistan",3.9,11
465834,Harvey's Guest House,"House No 111 Street No 22 F 10 2 Off Sumbal Road, Street 22 F-10/2Islamabad, Islamabad, 46000, Pakistan",4.4,16
465836,Pir Sohawa Hotel,"Pir Sohawa Ict, Islamabad 12345, Islamabad, 12345, Pakistan",4.4,6437
465841,Magnolia Guest House,"House 7 Street 85 Sector G 6 4, Street 85Sector G-6/4Islamabad, Islamabad, , Pakistan",4.0,23
465844,Elite Residence Guest House,"Street 15A, NPF E 11/4 E-11, Islamabad, Islamabad Capital Territory, , Islamabad, 44000, Pakistan",3.7,412
465846,New Shelton House,"House 11 Kaghan Road Sector F 8 3, Kaghan Road House 11Islamabad, Islamabad, , Pakistan",4.4,762
465853,Grace Guest House,"27, , Islamabad, 44000, Pakistan",4.4,587
465854,Avari Xpress School Road,"H 20 Street No. 26 Sector F 6 2. Islamabad, , Islamabad, 00000, Pakistan",4.8,8932
465859,Hotel One Kohsar Islamabad,"House 18, Street 26F-6/2Islamabad 44000, Islamabad, 44000, Pakistan",4.2,3405
465861,Grand Ambassador Islamabad,"Sector G5 2 Near State Bank Building, Near State Bank BuildingIslamabad, Islamabad, 00000, Pakistan",3.9,884
465863,Comfort Residency Islamabad,"47 Main College Road F 7 2 Islamabad Jinnah Super, F-7/2Jinnah SuperIslamabad 45000, Islamabad, 45000, Pakistan",3.9,515
465867,Green Retreat,"Green Retreat Hotel Nathiagali Green Spot Rd, Nathia GaliAbbottabad, Islamabad, 54000, Pakistan",4.0,2064
465869,Hotel Faran,"Main Kuldana Road Murree., , Murree, 47195, Pakistan",3.9,2098
465875,Continental House Hotel,"Nazimuddin Road 94-A F-8/4 F 8/4 F-8, F-8/4 SectorIslamabad 42000, Islamabad, 42000, Pakistan",4.5,158
465876,Orion International Guest House,"Islamabad House 196, Sector G/9_1Street 36Islamabad 44000, Islamabad, 44000, Pakistan",3.9,301
465877,Royal guest house,"341 Street 99, , Islamabad, 44000, Pakistan",4.4,96
465879,Arcadian Sprucewoods,"Shogran Road, ShogranKaghan ValleyIslamabad 54000, Shogran, 21230, Pakistan",4.2,980
465880,Pak Rose Hotel,"Sector G9/4, House 51 Street 55Islamabad 44091, Islamabad, 44091, Pakistan",3.6,39
465882,Hotel Rakaposhi,"13-P Empire Center, F-7 Markaz 3rd FloorNear Mr.Chips. Jinnah Super MarketF-7 Sector, Islamabad, 44000, Pakistan",3.9,146
465886,Marina Residency Islamabad,"Street 42 F-7/1, House 9AF-7 SectorMarvi Road, Islamabad, 44000, Pakistan",3.9,16
465887,Atlas Hotel,"Block 15, Bhittai Road F7Jinnah Super MarketIslamabad 44000, Islamabad, 44000, Pakistan",3.9,704
465890,Nice Hotel,"Jahangir Multiplex, Peshawar RoadH13Islamabad 46000, Islamabad, 46000, Pakistan",4.7,33607
465912,Explorers lounge,"House # 287 Sumbal Road F 10 4, , Islamabad, 44000, Pakistan",4.1,140
465913,Riviera Guest House,"House # 5 Street # 46 F8 1 F8/1, , Islamabad, 44000, Pakistan",4.3,449
465914,Margalla View Guest House,"F 6 1 F 6 Sector, , Islamabad, 44000, Pakistan",4.1,114
465915,Luxury House,"House No 9 Street 58 F 7 4, , Islamabad, 44000, Pakistan",4.2,87
465916,Mulberry House,"Street No. 25 House No. 66 Sector F.10 1 Islamabad, , Islamabad, 44000, Pakistan",4.3,228
465917,Orion Inn,"House #6 Street #21 Sector F 7 2 Islamabad Islamabad, , Islamabad, 44000, Pakistan",3.8,170
465918,Royal Cottage Guest House,"Hamza Road House Number 18, , Islamabad, 46000, Pakistan",3.8,163
465920,The Hotel,"I.J.P. Road,Dhoke Babu Irfan, , Islamabad, 46000, Pakistan",4.2,168
465921,Premiere Inn,"House 3, Street 11, Sector F-8/3, , Islamabad, 4000, Pakistan",3.9,396
465926,Hotel Pyramid International,"Sultan Mansion Block 2-A,Near Tandoori Restaurant, G-8, , Islamabad, 44000, Pakistan",3.4,151
465927,Capital Sweet Home,"House#647,Opp.Near Nust University,Service Road,G-11/1, , Islamabad, 44000, Pakistan",4.8,119
465929,Hotel Islamabad Premier Inn,"Plot 14/11-12, khadda market,G-7 markaz, , Islamabad, 44000, Pakistan",4.0,458
465932,Melberry House,"House 13-B Street 34, Sector F-7/1,F-7/1, , Islamabad, 44000, Pakistan",4.3,228
465938,Zaib Guest House,"House No. 63-A, Street No. 36,Sector E-11/3, , Islamabad, 44000, Pakistan",4.8,103
465941,Sunset Destination,"House 1-C, Main Perveen Shakir Road,F-7/2, , Islamabad, 44000, Pakistan",4.3,149
465943,Savvana Inn,"House 14-A, Street 28, Sector F-6/1, , Islamabad, 44000, Pakistan",4.4,5
465946,Margalla Palace,"House 22, Street 13, F-7/2, , Islamabad, 44000, Pakistan",4.8,1420
465947,Glade House,"House No 28-B Street 41,Sector F-7/1, , Islamabad, 44000, Pakistan",3.1,9
465950,One Enclave,"42 Urban Blvd, , Islamabad, 44000, Pakistan",4.0,545
465956,Apex Inn Guest House,"House 30 B, Street 18 F 7/ 2, Islamabad, 44000, Pakistan",3.8,544
465982,Best Western Hotel Rawalpindi Central,"Bahria Town, Phase 4, Paradise Commercial, Islamabad, Pakistan, Islamabad, 46220",4.5,84
465984,Butt Lodges 2,"Mian Ibn E Sina Road G 9 3 House No 587, , Islamabad, 46000, Pakistan",4.5,1042
465986,The Centaurus Serviced Apartments,"Jinnah Avenue The Centaurus Serviced Apartments, , Islamabad, 46000, Pakistan",4.2,609
465988,Amyl's Garden Guest House,"House # 55 Street 27 Main School Road Near Supermarket F6 2 Islamabad, , Islamabad, 99999, Pakistan",3.9,205
465992,Belle Cottage,"Belle Cottage. House Street 31 F7 1 F7 F7/1 F7, , Islamabad, , Pakistan",4.2,16
465994,STS Smart Suites,"Sts Mall Main Civic Center Bahria Town Phase 4 Islamabad, , Rawalpindi, 44000, Pakistan",4.1,243
465998,Casa Grande,"House# 28 A Street 41 F 7 1, , Islamabad, 44000, Pakistan",4.0,53
466001,Star House,"House 12 D Street 13 Sector F 7 2 Islamabad, , Islamabad, 44000, Pakistan",4.2,6050
466005,Capri Executive,"House No.10 Street No.35 F 7 1, , Islamabad, 44000, Pakistan",4.1,306
